Year,CountryName,CountryCode,PopulationTotal,Emissionspercapita,EmissionsTotal
1970,Qatar,QAT,109329,69.23,7568.69
1970,United Arab Emirates,ARE,235434,64.76,15247.39
1970,Brunei Darussalam,BRN,129729,63.29,8210.41
1970,Luxembourg,LUX,339171,40.53,13747.58
1970,Kuwait,KWT,750184,33.38,25041.94
1970,New Caledonia,NCL,112000,21.38,2394.55
1970,United States,USA,205052000,21.11,4328904.5
1970,Canada,CAN,21324000,16.01,341485.71
1970,Libya,LBY,2114264,15.29,32331.94
1970,"Bahamas, The",BHS,169356,15.2,2574.23
1980,Qatar,QAT,223715,58.55,13098.52
1980,"Bahamas, The",BHS,210660,37.93,7990.39
1980,United Arab Emirates,ARE,1016789,36.3,36904.69
1980,Brunei Darussalam,BRN,193057,35.65,6882.96
1980,Luxembourg,LUX,364150,30.28,11026.67
1980,Bahrain,BHR,359902,21.92,7887.72
1980,United States,USA,227225000,20.79,4723209.68
1980,Canada,CAN,24593000,18.02,443233.96
1980,Kuwait,KWT,1384342,17.82,24675.24
1980,Saudi Arabia,SAU,9912917,17.09,169404.4
1990,Aruba,ABW,62148,29.62,1840.83
1990,United Arab Emirates,ARE,1811458,28.71,52009.06
1990,Luxembourg,LUX,381850,27.2,10003.58
1990,Bahrain,BHR,495944,24.54,12665.82
1990,Qatar,QAT,476478,22.5,11774.74
1990,Brunei Darussalam,BRN,256939,20.1,6211.9
1990,Kuwait,KWT,2058832,23.47,48312.73
1990,United States,USA,249623000,19.32,4823557.13
1990,Canada,CAN,27791000,15.66,435181.23
1990,Palau,PLW,15089,15.55,234.69
2000,Qatar,QAT,593453,58.52,34730.16
2000,United Arab Emirates,ARE,3050128,36.9,112562.23
2000,Bahrain,BHR,666855,27.96,18643.03
2000,Kuwait,KWT,1929470,27.76,53560.2
2000,Aruba,ABW,90858,25.55,2321.21
2000,United States,USA,282162411,20.21,5701829.3
2000,Luxembourg,LUX,436300,17.89,8239.75
2000,Trinidad and Tobago,TTO,1267980,18.84,23894.17
2000,Brunei Darussalam,BRN,330554,20.87,6105.56
2000,Canada,CAN,30769700,17.37,534483.59
2010,Qatar,QAT,1765513,42.64,75279.84
2010,Trinidad and Tobago,TTO,1328095,38.34,50916.3
2010,Kuwait,KWT,3059473,29.69,90846.26
2010,Aruba,ABW,101597,24.18,2456.89
2010,Brunei Darussalam,BRN,393302,21.87,8602.78
2010,Luxembourg,LUX,506953,20.64,10968
2010,United Arab Emirates,ARE,8329453,20.12,167596.57
2010,Oman,OMN,2943747,19.12,56292.12
2010,Saudi Arabia,SAU,28090647,18.98,533093.79
2010,Bahrain,BHR,1261319,18.44,23252.45
2011,Qatar,QAT,1905437,44.02,83875.29
2011,Trinidad and Tobago,TTO,1334790,37.14,49574.17
2011,Kuwait,KWT,3239181,28.1,91029.61
2011,Brunei Darussalam,BRN,399443,24.39,9743.22
2011,Aruba,ABW,101936,23.92,2438.56
2011,Luxembourg,LUX,518347,20.9,10832.32
2011,United Arab Emirates,ARE,8734722,20.43,178483.89
2011,Oman,OMN,3210003,20.2,64854.56
2011,Saudi Arabia,SAU,28788438,18.07,520277.63
2011,Bahrain,BHR,1306014,17.95,23439.46
